ID,Start time,Completion time,Email,Gender,Age,Closest biggest city near you,Number of kids (<18y) living with you,Birth Year,Number of modules completed so far,Average mark so far,Prediction for this module's mark,I enjoy working with data,I am excited about working with data,I am afraid of working with data,I am interested in understanding Data Analytics,I plan to work hard in this module,"Height (absolute value, in centimeters (cm) - sorry imperial system users!)",Height (relative)
37,12/17/20 15:25:11,12/17/20 15:30:11,anonymous,Woman,50-59,Johannesburg,1,62,5,65,65,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,1.79,tall
38,12/17/20 16:48:30,12/17/20 16:50:04,anonymous,Man,40-49,Dubai,1,1974,5,55,69,Agree,Agree,Agree,Agree,Completely Agree,181,tall
39,12/17/20 16:51:46,12/17/20 16:54:13,anonymous,Man,40-49,Toronto,4,1977,5,64,65,Meh,Meh,Disagree,Agree,Meh,170,average
40,12/17/20 17:06:01,12/17/20 17:22:23,anonymous,Woman,40-49,Luxemburg,0,1972,5,68,0,Meh,Disagree,Meh,Meh,Agree,165,short
41,12/17/20 17:35:11,12/17/20 17:38:27,anonymous,Man,70+,Houston,0,1946,5,58,65,Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,170,average
42,12/17/20 17:36:40,12/17/20 17:39:21,anonymous,Man,50-59,Lusaka,0,1967,5,67,65,Completely Agree,Completely Agree,Completely Disagree,Agree,Agree,167,tall
43,12/17/20 18:06:08,12/17/20 18:17:29,anonymous,Woman,50-59,Vienna,1,1964,5,55,70,Meh,Meh,Disagree,Completely Agree,Completely Agree,165,average
44,12/17/20 18:15:39,12/17/20 18:19:58,anonymous,Man,20-29,Maharagama,0,1991,5,58,60,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,178,tall
45,12/17/20 18:21:40,12/17/20 18:23:26,anonymous,Man,40-49,Dubai,3,1976,5,60,60,Completely Agree,Agree,Disagree,Completely Agree,Completely Agree,192,tall
46,12/17/20 22:32:15,12/17/20 22:33:50,anonymous,Woman,40-49,Geneva,2,1976,none,,60,Meh,Meh,Agree,Agree,Completely Agree,165,average
47,12/17/20 22:35:30,12/17/20 22:41:44,anonymous,Man,40-49,Koforidua,0,1980,5,54,65,Agree,Agree,Disagree,Completely Agree,Agree,180,tall
48,12/17/20 23:20:24,12/17/20 23:25:07,anonymous,Woman,40-49,Prague,0,1980,1,66,68,Disagree,Completely Disagree,Completely Agree,Disagree,Agree,174,tall
49,12/18/20 0:38:34,12/18/20 0:44:13,anonymous,Woman,50-59,Port of Spain,0,1967,5,60,60,Meh,Meh,Disagree,Agree,Agree,155,average
50,12/18/20 1:58:15,12/18/20 2:05:26,anonymous,Woman,50-59,Toronto,1,1965,5,56,65,Agree,Meh,Disagree,Agree,Completely Agree,168,tall
51,12/18/20 2:30:02,12/18/20 2:33:45,anonymous,Man,20-29,Bo,1,26,none,,70,Agree,Agree,Disagree,Completely Agree,Completely Agree,176,tall
52,12/18/20 4:43:42,12/18/20 4:47:58,anonymous,Man,50-59,Windhoek ,2,1970,5,60,60,Agree,Meh,Disagree,Agree,Completely Agree,1.62,short
53,12/18/20 4:49:26,12/18/20 4:54:44,anonymous,Man,40-49,New York,4,1975,5,68,70,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,167,average
54,12/18/20 7:32:55,12/18/20 7:52:14,anonymous,Woman,40-49,Oman,0,1979,5,58.66,70,Agree,Agree,Completely Disagree,Completely Agree,Agree,170,tall
55,12/18/20 7:53:37,12/18/20 7:55:41,anonymous,Woman,30-39,Rome,1,1982,5,70,70,Agree,Agree,Meh,Agree,Completely Agree,160,average
56,12/18/20 9:40:32,12/18/20 9:41:30,anonymous,Woman,50-59,Cologne,1,1970,2,66,75,Completely Agree,Completely Agree,Completely Agree,Agree,Agree,156,short
57,12/18/20 13:14:23,12/18/20 13:19:16,anonymous,Woman,40-49,Nairobi,2,1977,2,64,70,Agree,Agree,Disagree,Completely Agree,Completely Agree,162.56,average
58,12/18/20 13:22:49,12/18/20 13:24:51,anonymous,Woman,30-39,Dubai,0,1986,5,65,65,Completely Agree,Completely Agree,Completely Disagree,Agree,Completely Agree,165,average
59,12/18/20 14:22:44,12/18/20 14:24:06,anonymous,Man,50-59,Brussels,1,1964,5,69,70,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,180,average
60,12/18/20 15:17:50,12/18/20 15:22:01,anonymous,Man,40-49,Harare,1,1976,5,60,60,Agree,Agree,Disagree,Completely Agree,Agree,165,short
